check,raw,standardized
rows,4596,4596
cols,122,122
crs,EPSG:4326,"{""$schema"": ""https://proj.org/schemas/v0.7/projjson.schema.json"", ""type"": ""GeographicCRS"", ""name"": ""WGS 84"", ""datum_ensemble"": {""name"": ""World Geodetic System 1984 ensemble"", ""members"": [{""name"": ""World Geodetic System 1984 (Transit)""}, {""name"": ""World Geodetic System 1984 (G730)""}, {""name"": ""World Geodetic System 1984 (G873)""}, {""name"": ""World Geodetic System 1984 (G1150)""}, {""name"": ""World Geodetic System 1984 (G1674)""}, {""name"": ""World Geodetic System 1984 (G1762)""}, {""name"": ""World Geodetic System 1984 (G2139)""}, {""name"": ""World Geodetic System 1984 (G2296)""}], ""ellipsoid"": {""name"": ""WGS 84"", ""semi_major_axis"": 6378137, ""inverse_flattening"": 298.257223563}, ""accuracy"": ""2.0"", ""id"": {""authority"": ""EPSG"", ""code"": 6326}}, ""coordinate_system"": {""subtype"": ""ellipsoidal"", ""axis"": [{""name"": ""Geodetic latitude"", ""abbreviation"": ""Lat"", ""direction"": ""north"", ""unit"": ""degree""}, {""name"": ""Geodetic longitude"", ""abbreviation"": ""Lon"", ""direction"": ""east"", ""unit"": ""degree""}]}, ""scope"": ""Horizontal component of 3D system."", ""area"": ""World."", ""bbox"": {""south_latitude"": -90, ""west_longitude"": -180, ""north_latitude"": 90, ""east_longitude"": 180}, ""id"": {""authority"": ""EPSG"", ""code"": 4326}}"
null_geom,0,0
empty_geom,0,0
invalid_geom,1,0
unique_key_used,adm1_code,adm1_code
duplicate_rows_on_key,0,0
nulls_admin,0,0
nulls_adm0_a3,0,0
nulls_name,7,7
nulls_name_en,7,7
nulls_iso_3166_2,0,0
nulls_adm1_code,0,0
nulls_gn_id,1,1
nulls_type,360,360
nulls_region,2438,2438
nulls_geonunit,87,87
